"StartofWindow" "EndofWindow" "coverage" "CHR"
"1" 891945 918573 1 1
"2" 918573 2118339 2 1
"3" 2118339 2220649 3 1
"4" 2220649 2223866 4 1
"5" 2223866 2231463 7 1
"6" 2231463 2362827 8 1
"7" 2362827 2369498 7 1
"8" 2369498 2797856 6 1
"9" 2797856 2889577 5 1
"10" 2889577 3072692 4 1
"11" 3072692 3147030 5 1
"12" 3147030 3499067 7 1
"13" 3499067 3637459 9 1
"14" 3637459 3680729 6 1
"15" 3680729 3822703 5 1
"16" 3822703 4002832 4 1
"17" 4002832 4004250 6 1
"18" 4004250 4026068 5 1
"19" 4026068 4068052 4 1
"20" 4068052 4380195 5 1
"21" 4380195 4587177 3 1
"22" 4587177 4646379 2 1
"23" 4646379 6196869 0 1
"24" 6196869 6258794 1 1
"25" 6258794 6278414 4 1
"26" 6278414 6312016 5 1
"27" 6312016 6314822 6 1
"28" 6314822 6362035 8 1
"29" 6362035 6367219 11 1
"30" 6367219 6481842 13 1
"31" 6481842 6623499 15 1
"32" 6623499 7099660 19 1
"33" 7099660 7106963 16 1
"34" 7106963 7119202 15 1
"35" 7119202 7128056 14 1
"36" 7128056 7135268 13 1
"37" 7135268 7143344 12 1
"38" 7143344 7220970 9 1
"39" 7220970 7245434 4 1
"40" 7245434 7250522 1 1
"41" 7250522 7580769 0 1
"42" 7580769 7845695 1 1
"43" 7845695 8295130 2 1
"44" 8295130 9001562 1 1
"45" 9001562 9140078 0 1
"46" 9140078 9499246 1 1
"47" 9499246 9510150 2 1
"48" 9510150 9514846 3 1
"49" 9514846 9535303 5 1
"50" 9535303 9600774 6 1
"51" 9600774 9693988 7 1
"52" 9693988 9713386 9 1
"53" 9713386 9782766 10 1
"54" 9782766 9902900 11 1
"55" 9902900 9911291 12 1
"56" 9911291 10242654 13 1
"57" 10242654 10472026 16 1
"58" 10472026 10631237 15 1
"59" 10631237 10638604 14 1
"60" 10638604 10643829 13 1
"61" 10643829 10743363 11 1
"62" 10743363 10767902 10 1
"63" 10767902 10796866 9 1
"64" 10796866 10801989 8 1
"65" 10801989 10813675 5 1
"66" 10813675 10827135 4 1
"67" 10827135 10874522 3 1
"68" 10874522 10908412 2 1
"69" 10908412 10957719 4 1
"70" 10957719 10969950 2 1
"71" 10969950 10980998 3 1
"72" 10980998 10999600 4 1
"73" 10999600 11013286 5 1
"74" 11013286 11060075 7 1
"75" 11060075 11060799 11 1
"76" 11060799 11079077 12 1
"77" 11079077 11398365 13 1
"78" 11398365 11534053 15 1
"79" 11534053 11607932 14 1
"80" 11607932 11626858 13 1
"81" 11626858 11656684 12 1
"82" 11656684 11698902 11 1
"83" 11698902 11708736 10 1
"84" 11708736 11711589 5 1
"85" 11711589 11764281 3 1
"86" 11764281 11807426 5 1
"87" 11807426 11959216 4 1
"88" 11959216 12038990 2 1
"89" 12038990 12763781 3 1
"90" 12763781 12823667 1 1
"91" 12823667 13783354 0 1
"92" 13783354 13786622 2 1
"93" 13786622 14441738 3 1
"94" 14441738 14715919 2 1
"95" 14715919 15133668 3 1
"96" 15133668 15154825 4 1
"97" 15154825 15183309 3 1
"98" 15183309 15428508 2 1
"99" 15428508 15643218 1 1
"100" 15643218 15651062 2 1
"101" 15651062 15671483 3 1
"102" 15671483 15733394 2 1
"103" 15733394 15739016 5 1
"104" 15739016 15745380 7 1
"105" 15745380 15750217 10 1
"106" 15750217 15757044 15 1
"107" 15757044 15810624 16 1
"108" 15810624 15814186 17 1
"109" 15814186 15975237 19 1
"110" 15975237 16069644 20 1
"111" 16069644 16075906 22 1
"112" 16075906 16082127 23 1
"113" 16082127 16089356 24 1
"114" 16089356 16200163 26 1
"115" 16200163 16367339 25 1
"116" 16367339 16368977 26 1
"117" 16368977 16393357 25 1
"118" 16393357 16398375 27 1
"119" 16398375 16413291 24 1
"120" 16413291 16414088 20 1
"121" 16414088 16442908 19 1
"122" 16442908 16446349 20 1
"123" 16446349 16449746 23 1
"124" 16449746 16452998 22 1
"125" 16452998 16464673 21 1
"126" 16464673 16474701 22 1
"127" 16474701 16478654 23 1
"128" 16478654 16482976 24 1
"129" 16482976 16504549 23 1
"130" 16504549 16513153 24 1
"131" 16513153 16515805 26 1
"132" 16515805 16524869 29 1
"133" 16524869 16716374 27 1
"134" 16716374 16732860 24 1
"135" 16732860 16734627 23 1
"136" 16734627 16739907 23 1
"137" 16739907 16844848 24 1
"138" 16844848 17319287 21 1
"139" 17319287 17413459 20 1
"140" 17413459 17425829 17 1
"141" 17425829 17444769 13 1
"142" 17444769 17462261 12 1
"143" 17462261 17473895 11 1
"144" 17473895 17518160 8 1
"145" 17518160 17557178 7 1
"146" 17557178 17560972 5 1
"147" 17560972 17588162 4 1
"148" 17588162 17593316 2 1
"149" 17593316 17674537 1 1
"150" 17674537 17915833 0 1
"151" 17915833 18504396 1 1
"152" 18504396 19147761 0 1
"153" 19147761 19188456 1 1
"154" 19188456 19198064 2 1
"155" 19198064 19202507 3 1
"156" 19202507 19205672 4 1
"157" 19205672 19215418 6 1
"158" 19215418 19220748 12 1
"159" 19220748 19243589 13 1
"160" 19243589 19258375 15 1
"161" 19258375 19258723 18 1
"162" 19258723 19684540 19 1
"163" 19684540 19806259 18 1
"164" 19806259 19809171 16 1
"165" 19809171 19824008 13 1
"166" 19824008 19849656 11 1
"167" 19849656 19876025 10 1
"168" 19876025 19973564 8 1
"169" 19973564 19981791 7 1
"170" 19981791 20172956 6 1
"171" 20172956 20423099 5 1
"172" 20423099 20775350 0 1
"173" 20775350 20862106 2 1
"174" 20862106 20872694 3 1
"175" 20872694 20893965 5 1
"176" 20893965 20899016 6 1
"177" 20899016 20917206 8 1
"178" 20917206 20928154 9 1
"179" 20928154 20996757 10 1
"180" 20996757 20997340 12 1
"181" 20997340 21018485 13 1
"182" 21018485 21031983 16 1
"183" 21031983 21525228 17 1
"184" 21525228 21534237 15 1
"185" 21534237 21551457 14 1
"186" 21551457 21583311 13 1
"187" 21583311 21621536 12 1
"188" 21621536 21657162 10 1
"189" 21657162 21821757 7 1
"190" 21821757 21840129 7 1
"191" 21840129 21863691 9 1
"192" 21863691 21958739 8 1
"193" 21958739 22013771 9 1
"194" 22013771 22046558 8 1
"195" 22046558 22233670 5 1
"196" 22233670 22448217 4 1
"197" 22448217 22537071 2 1
"198" 22537071 22603552 1 1
"199" 22603552 22718261 0 1
"200" 22718261 23667751 2 1
"201" 23667751 23778362 1 1
"202" 23778362 23836364 0 1
"203" 23836364 23902416 1 1
"204" 23902416 23904345 4 1
"205" 23904345 23998136 6 1
"206" 23998136 24415047 9 1
"207" 24415047 24424241 8 1
"208" 24424241 24486955 6 1
"209" 24486955 24516880 5 1
"210" 24516880 24556756 7 1
"211" 24556756 24581493 5 1
"212" 24581493 24653792 7 1
"213" 24653792 24672641 4 1
"214" 24672641 24907415 6 1
"215" 24907415 25169634 7 1
"216" 25169634 25241116 5 1
"217" 25241116 25294264 3 1
"218" 25294264 25499030 4 1
