"StartofWindow" "EndofWindow" "coverage" "CHR"
"1" 798959 838555 18 1
"2" 838555 873558 27 1
"3" 873558 891945 34 1
"4" 891945 1335790 40 1
"5" 1335790 1366830 41 1
"6" 1366830 1900232 42 1
"7" 1900232 2071340 43 1
"8" 2071340 2223866 45 1
"9" 2223866 2444414 47 1
"10" 2444414 2870850 48 1
"11" 2870850 2928421 47 1
"12" 2928421 3057661 46 1
"13" 3057661 3080855 47 1
"14" 3080855 3083712 48 1
"15" 3083712 3147030 49 1
"16" 3147030 3214732 48 1
"17" 3214732 3269828 49 1
"18" 3269828 3293665 50 1
"19" 3293665 3349513 48 1
"20" 3349513 3383038 49 1
"21" 3383038 3659657 50 1
"22" 3659657 3682070 51 1
"23" 3682070 3803755 48 1
"24" 3803755 4002498 49 1
"25" 4002498 4007110 48 1
"26" 4007110 4009793 46 1
"27" 4009793 4013954 47 1
"28" 4013954 4152928 46 1
"29" 4152928 4170249 47 1
"30" 4170249 4194597 49 1
"31" 4194597 4327635 50 1
"32" 4327635 4341843 49 1
"33" 4341843 4368026 50 1
"34" 4368026 4529544 49 1
"35" 4529544 4552802 50 1
"36" 4552802 4587177 51 1
"37" 4587177 4756601 50 1
"38" 4756601 4768540 54 1
"39" 4768540 4772053 53 1
"40" 4772053 4792184 52 1
"41" 4792184 5072295 51 1
"42" 5072295 5103621 52 1
"43" 5103621 5127543 51 1
"44" 5127543 5168663 50 1
"45" 5168663 5283942 49 1
"46" 5283942 5312366 50 1
"47" 5312366 5347457 49 1
"48" 5347457 5374940 46 1
"49" 5374940 5575158 44 1
"50" 5575158 5658267 43 1
"51" 5658267 5671786 45 1
"52" 5671786 5699475 46 1
"53" 5699475 5711647 47 1
"54" 5711647 5748611 49 1
"55" 5748611 5790655 50 1
"56" 5790655 5902367 49 1
"57" 5902367 5908733 50 1
"58" 5908733 5923788 49 1
"59" 5923788 6162407 50 1
"60" 6162407 6258794 49 1
"61" 6258794 6362035 48 1
"62" 6362035 6367219 50 1
"63" 6367219 6661732 49 1
"64" 6661732 7317541 51 1
"65" 7317541 7464375 50 1
"66" 7464375 7485370 49 1
"67" 7485370 7492120 50 1
