"StartofWindow" "EndofWindow" "coverage" "CHR"
"1" 3131235 3561008 1 1
"2" 3561008 4026068 0 1
"3" 4026068 4367323 2 1
"4" 4367323 4390289 1 1
"5" 4390289 4518202 0 1
"6" 4518202 4828063 1 1
"7" 4828063 5003504 0 1
"8" 5003504 5060684 1 1
"9" 5060684 5104614 4 1
"10" 5104614 5239931 6 1
"11" 5239931 5343032 8 1
"12" 5343032 5356607 5 1
"13" 5356607 5357171 3 1
"14" 5357171 5575158 2 1
"15" 5575158 5736682 0 1
"16" 5736682 6221975 1 1
"17" 6221975 6623499 0 1
"18" 6623499 6644723 1 1
"19" 6644723 6661732 2 1
"20" 6661732 6797684 3 1
"21" 6797684 6822235 5 1
"22" 6822235 7093213 7 1
"23" 7093213 7126671 6 1
"24" 7126671 7158561 5 1
"25" 7158561 7177744 4 1
"26" 7177744 7250522 2 1
"27" 7250522 7272250 3 1
"28" 7272250 7613745 1 1
"29" 7613745 11698902 0 1
"30" 11698902 11740358 1 1
"31" 11740358 11763677 3 1
"32" 11763677 11774956 4 1
"33" 11774956 11802434 6 1
"34" 11802434 11808706 7 1
"35" 11808706 11810973 9 1
"36" 11810973 11824133 11 1
"37" 11824133 11836628 15 1
"38" 11836628 12059412 16 1
"39" 12059412 12070292 14 1
"40" 12070292 12189561 12 1
"41" 12189561 12194451 9 1
"42" 12194451 12194612 8 1
"43" 12194612 12233754 6 1
"44" 12233754 12249031 5 1
"45" 12249031 12251808 4 1
"46" 12251808 14214348 0 1
"47" 14214348 14512986 1 1
"48" 14512986 14790631 0 1
"49" 14790631 15249739 1 1
"50" 15249739 15257426 0 1
"51" 15257426 15377687 1 1
"52" 15377687 15402156 2 1
"53" 15402156 15444288 6 1
"54" 15444288 15550525 8 1
"55" 15550525 15643218 7 1
"56" 15643218 15686006 9 1
"57" 15686006 15697183 8 1
"58" 15697183 15733394 5 1
"59" 15733394 15745380 4 1
"60" 15745380 15788789 3 1
"61" 15788789 16082127 2 1
"62" 16082127 17486722 0 1
"63" 17486722 17909412 1 1
"64" 17909412 18544840 0 1
"65" 18544840 18668501 1 1
"66" 18668501 18863502 3 1
"67" 18863502 19027239 2 1
"68" 19027239 20533678 0 1
"69" 20533678 21022402 1 1
"70" 21022402 22216279 0 1
"71" 22216279 22588993 1 1
"72" 22588993 24062987 0 1
"73" 24062987 24365512 1 1
"74" 24365512 24394811 2 1
"75" 24394811 24486955 3 1
"76" 24486955 24583452 2 1
"77" 24583452 24653792 1 1
"78" 24653792 24862643 0 1
"79" 24862643 25375468 1 1
"80" 25375468 26486880 0 1
"81" 26486880 26919414 2 1
"82" 26919414 30064009 0 1
"83" 30064009 30162007 1 1
"84" 30162007 30165211 5 1
"85" 30165211 30258944 6 1
"86" 30258944 30353687 7 1
"87" 30353687 30405460 6 1
"88" 30405460 30431560 9 1
"89" 30431560 30543026 8 1
"90" 30543026 30574158 7 1
"91" 30574158 30578618 3 1
"92" 30578618 30788889 4 1
"93" 30788889 30798436 3 1
"94" 30798436 30808141 1 1
"95" 30808141 30919378 2 1
"96" 30919378 30980786 3 1
"97" 30980786 31080612 2 1
"98" 31080612 31258259 3 1
"99" 31258259 31261037 2 1
"100" 31261037 31327011 1 1
"101" 31327011 31388559 0 1
"102" 31388559 31650749 1 1
"103" 31650749 31681014 5 1
"104" 31681014 31687659 6 1
"105" 31687659 31687958 17 1
"106" 31687958 31688111 18 1
"107" 31688111 31701981 20 1
"108" 31701981 31707971 24 1
"109" 31707971 31719450 30 1
"110" 31719450 31731208 32 1
"111" 31731208 31769025 34 1
"112" 31769025 31850657 35 1
"113" 31850657 31885859 36 1
"114" 31885859 31902418 37 1
"115" 31902418 31909072 36 1
"116" 31909072 31972756 38 1
"117" 31972756 31973440 39 1
"118" 31973440 32007672 40 1
"119" 32007672 32017993 39 1
"120" 32017993 32022031 38 1
"121" 32022031 32038716 30 1
"122" 32038716 32038787 26 1
"123" 32038787 32047632 24 1
"124" 32047632 32048052 20 1
"125" 32048052 32054094 19 1
"126" 32054094 32062066 18 1
"127" 32062066 32081785 17 1
"128" 32081785 32092735 16 1
"129" 32092735 32125943 14 1
"130" 32125943 32139635 13 1
"131" 32139635 32142354 12 1
"132" 32142354 32146764 10 1
"133" 32146764 32155911 5 1
"134" 32155911 32158374 4 1
"135" 32158374 32278308 3 1
"136" 32278308 32280610 1 1
"137" 32280610 33641256 0 1
"138" 33641256 34151260 1 1
"139" 34151260 34900172 0 1
"140" 34900172 34902910 3 1
"141" 34902910 35257416 4 1
"142" 35257416 35317472 3 1
"143" 35317472 40974799 0 1
"144" 40974799 41425864 2 1
"145" 41425864 41842350 0 1
"146" 41842350 41849735 1 1
"147" 41849735 41854357 3 1
"148" 41854357 41878988 4 1
"149" 41878988 41889513 5 1
"150" 41889513 41941726 6 1
"151" 41941726 41944183 7 1
"152" 41944183 41969327 8 1
"153" 41969327 41971212 9 1
"154" 41971212 42006005 13 1
"155" 42006005 42247715 14 1
"156" 42247715 42271163 13 1
"157" 42271163 42273653 10 1
"158" 42273653 42274690 9 1
"159" 42274690 42298324 8 1
"160" 42298324 42330585 7 1
"161" 42330585 42361102 6 1
"162" 42361102 42366988 5 1
"163" 42366988 42368704 4 1
"164" 42368704 42424594 1 1
"165" 42424594 43764084 0 1
"166" 43764084 44274699 2 1
"167" 44274699 44278722 1 1
"168" 44278722 46990044 0 1
"169" 46990044 47000566 1 1
"170" 47000566 47188150 2 1
"171" 47188150 47201798 4 1
"172" 47201798 47208081 7 1
"173" 47208081 47213386 9 1
"174" 47213386 47219823 12 1
"175" 47219823 47264133 14 1
"176" 47264133 47265776 19 1
"177" 47265776 47441156 20 1
"178" 47441156 47449486 22 1
"179" 47449486 47485891 21 1
"180" 47485891 47490974 21 1
"181" 47490974 47608197 22 1
"182" 47608197 47609489 19 1
"183" 47609489 47644902 17 1
"184" 47644902 47645995 12 1
"185" 47645995 47657141 9 1
"186" 47657141 47661620 8 1
"187" 47661620 47703400 6 1
"188" 47703400 47873684 4 1
"189" 47873684 47936696 3 1
"190" 47936696 47953757 1 1
"191" 47953757 48164622 0 1
"192" 48164622 48520777 1 1
"193" 48520777 48673385 4 1
"194" 48673385 49036512 3 1
"195" 49036512 53579583 0 1
"196" 53579583 53581670 1 1
"197" 53581670 53598126 3 1
"198" 53598126 53631049 4 1
"199" 53631049 53660993 5 1
"200" 53660993 53676448 6 1
"201" 53676448 53852469 8 1
"202" 53852469 53881081 7 1
"203" 53881081 53934091 6 1
"204" 53934091 54024808 3 1
"205" 54024808 54129591 2 1
"206" 54129591 54584278 0 1
"207" 54584278 54756342 1 1
"208" 54756342 54943026 2 1
"209" 54943026 55085141 4 1
"210" 55085141 55196099 3 1
"211" 55196099 55434648 2 1
"212" 55434648 55767547 0 1
"213" 55767547 55806861 1 1
"214" 55806861 55860561 2 1
"215" 55860561 56090323 6 1
"216" 56090323 56240015 5 1
"217" 56240015 56240702 1 1
"218" 56240702 56401121 0 1
"219" 56401121 56799912 1 1
"220" 56799912 56856989 3 1
"221" 56856989 57178926 2 1
"222" 57178926 57290659 3 1
"223" 57290659 57291520 4 1
"224" 57291520 57481828 2 1
"225" 57481828 57572121 3 1
"226" 57572121 57602383 5 1
"227" 57602383 57614330 8 1
"228" 57614330 57623047 9 1
"229" 57623047 57625649 10 1
"230" 57625649 57648776 11 1
"231" 57648776 57652069 12 1
"232" 57652069 57744259 13 1
"233" 57744259 57756980 14 1
"234" 57756980 57787978 13 1
"235" 57787978 57871326 12 1
"236" 57871326 57883320 9 1
"237" 57883320 57913227 8 1
"238" 57913227 57913272 7 1
"239" 57913272 57936193 6 1
"240" 57936193 57987253 5 1
"241" 57987253 58021206 3 1
"242" 58021206 58084162 1 1
"243" 58084162 58121100 5 1
"244" 58121100 58129636 6 1
"245" 58129636 58162855 7 1
"246" 58162855 58181165 6 1
"247" 58181165 58202297 7 1
"248" 58202297 58260994 9 1
"249" 58260994 58317833 10 1
"250" 58317833 58398753 11 1
"251" 58398753 58432755 12 1
"252" 58432755 58488751 9 1
"253" 58488751 58512049 8 1
"254" 58512049 58537361 6 1
"255" 58537361 58682811 5 1
"256" 58682811 58726579 3 1
"257" 58726579 58790501 2 1
"258" 58790501 58873906 1 1
"259" 58873906 60869362 0 1
"260" 60869362 60925043 1 1
"261" 60925043 61359395 2 1
"262" 61359395 61386502 1 1
"263" 61386502 61902907 0 1
"264" 61902907 62356590 2 1
"265" 62356590 62363350 3 1
"266" 62363350 62422442 1 1
"267" 62422442 62433100 3 1
"268" 62433100 62492215 4 1
"269" 62492215 62767953 5 1
"270" 62767953 62773703 4 1
"271" 62773703 62774469 3 1
"272" 62774469 62818217 2 1
"273" 62818217 65808281 0 1
"274" 65808281 65869274 2 1
"275" 65869274 65894342 3 1
"276" 65894342 65895130 4 1
"277" 65895130 66257416 5 1
"278" 66257416 66279125 4 1
"279" 66279125 66314610 3 1
"280" 66314610 66315450 2 1
"281" 66315450 66509014 0 1
"282" 66509014 66991699 1 1
"283" 66991699 67496425 0 1
"284" 67496425 67990154 1 1
"285" 67990154 68128130 0 1
"286" 68128130 68278542 1 1
"287" 68278542 68475955 2 1
"288" 68475955 68581702 3 1
"289" 68581702 68633924 5 1
"290" 68633924 68643091 4 1
"291" 68643091 68821539 3 1
"292" 68821539 68963397 2 1
"293" 68963397 70930788 0 1
"294" 70930788 70954299 1 1
"295" 70954299 70966453 2 1
"296" 70966453 70986547 4 1
"297" 70986547 70992015 5 1
"298" 70992015 71018986 7 1
"299" 71018986 71023684 8 1
"300" 71023684 71045066 10 1
"301" 71045066 71368281 12 1
"302" 71368281 71371420 11 1
"303" 71371420 71384680 9 1
"304" 71384680 71391646 7 1
"305" 71391646 71399414 3 1
"306" 71399414 71440217 2 1
"307" 71440217 71476872 1 1
"308" 71476872 76453857 0 1
"309" 76453857 76862648 3 1
"310" 76862648 80286411 0 1
"311" 80286411 80781284 1 1
"312" 80781284 81212467 0 1
"313" 81212467 81272301 1 1
"314" 81272301 81352249 3 1
"315" 81352249 81470086 4 1
"316" 81470086 81489305 5 1
"317" 81489305 81491004 6 1
"318" 81491004 81491983 8 1
"319" 81491983 81516862 9 1
"320" 81516862 81721241 10 1
"321" 81721241 81766989 7 1
"322" 81766989 81852813 6 1
"323" 81852813 81866112 5 1
"324" 81866112 81881212 1 1
"325" 81881212 82686415 0 1
"326" 82686415 82896475 1 1
"327" 82896475 82964864 2 1
"328" 82964864 82969372 6 1
"329" 82969372 82969770 10 1
"330" 82969770 83037900 11 1
"331" 83037900 83058379 14 1
"332" 83058379 83063455 15 1
"333" 83063455 83107700 18 1
"334" 83107700 83137699 22 1
"335" 83137699 83288193 21 1
"336" 83288193 83289913 20 1
"337" 83289913 83306575 19 1
"338" 83306575 83338349 18 1
"339" 83338349 83461181 17 1
"340" 83461181 83471955 10 1
"341" 83471955 83535481 7 1
"342" 83535481 83597301 4 1
"343" 83597301 83933256 0 1
"344" 83933256 83961895 1 1
"345" 83961895 84295861 2 1
"346" 84295861 84323701 1 1
"347" 84323701 85402997 0 1
"348" 85402997 85497812 4 1
"349" 85497812 85539791 5 1
"350" 85539791 85545248 7 1
"351" 85545248 85561954 11 1
"352" 85561954 85582549 13 1
"353" 85582549 85765798 14 1
"354" 85765798 85915134 16 1
"355" 85915134 85947200 12 1
"356" 85947200 85960156 10 1
"357" 85960156 85967977 8 1
"358" 85967977 85972024 6 1
"359" 85972024 85972426 4 1
"360" 85972426 86021169 3 1
"361" 86021169 86272858 2 1
"362" 86272858 86425382 0 1
"363" 86425382 86935036 1 1
"364" 86935036 90601373 0 1
"365" 90601373 91103885 1 1
"366" 91103885 91785583 0 1
"367" 91785583 92221608 1 1
"368" 92221608 94002813 0 1
"369" 94002813 94044597 2 1
"370" 94044597 94054382 3 1
"371" 94054382 94172121 4 1
"372" 94172121 94332263 5 1
"373" 94332263 94501594 10 1
"374" 94501594 94501799 8 1
"375" 94501799 94512893 7 1
"376" 94512893 94531192 8 1
"377" 94531192 94558774 6 1
"378" 94558774 94563916 5 1
"379" 94563916 95007918 1 1
"380" 95007918 95382491 0 1
"381" 95382491 95896007 1 1
"382" 95896007 97286510 0 1
"383" 97286510 97377456 2 1
"384" 97377456 97385644 5 1
"385" 97385644 97462677 6 1
"386" 97462677 97469804 10 1
"387" 97469804 97584161 11 1
"388" 97584161 97584646 16 1
"389" 97584646 97588830 18 1
"390" 97588830 97608892 21 1
"391" 97608892 97686036 26 1
"392" 97686036 97700589 27 1
"393" 97700589 97706237 31 1
"394" 97706237 97721392 32 1
"395" 97721392 97733932 30 1
"396" 97733932 97744048 27 1
"397" 97744048 97761972 25 1
"398" 97761972 97781039 24 1
"399" 97781039 97803724 25 1
"400" 97803724 97857761 26 1
"401" 97857761 97870315 23 1
"402" 97870315 97876372 22 1
"403" 97876372 97876523 21 1
"404" 97876523 97880883 20 1
