"StartofWindow" "EndofWindow" "coverage" "CHR"
"1" 798959 838555 18 1
"2" 838555 873558 27 1
"3" 873558 891945 34 1
"4" 891945 918573 41 1
"5" 918573 1335790 42 1
"6" 1335790 1366830 43 1
"7" 1366830 1900232 44 1
"8" 1900232 2071340 45 1
"9" 2071340 2118339 47 1
"10" 2118339 2220649 48 1
"11" 2220649 2223866 49 1
"12" 2223866 2231463 54 1
"13" 2231463 2362827 55 1
"14" 2362827 2369498 54 1
"15" 2369498 2444414 53 1
"16" 2444414 2797856 54 1
"17" 2797856 2870850 53 1
"18" 2870850 2889577 52 1
"19" 2889577 2928421 51 1
"20" 2928421 3057661 50 1
"21" 3057661 3072692 51 1
"22" 3072692 3080855 52 1
"23" 3080855 3083712 53 1
"24" 3083712 3131235 54 1
"25" 3131235 3147030 55 1
"26" 3147030 3214732 56 1
"27" 3214732 3269828 57 1
"28" 3269828 3293665 58 1
"29" 3293665 3349513 56 1
"30" 3349513 3383038 57 1
"31" 3383038 3499067 58 1
"32" 3499067 3561008 60 1
"33" 3561008 3637459 59 1
"34" 3637459 3659657 56 1
"35" 3659657 3680729 57 1
"36" 3680729 3682070 56 1
"37" 3682070 3803755 53 1
"38" 3803755 3822703 54 1
"39" 3822703 4002498 53 1
"40" 4002498 4002832 52 1
"41" 4002832 4004250 54 1
"42" 4004250 4007110 53 1
"43" 4007110 4009793 51 1
"44" 4009793 4013954 52 1
"45" 4013954 4026068 51 1
"46" 4026068 4068052 52 1
"47" 4068052 4152928 53 1
"48" 4152928 4170249 54 1
"49" 4170249 4194597 56 1
"50" 4194597 4327635 57 1
"51" 4327635 4341843 56 1
"52" 4341843 4367323 57 1
"53" 4367323 4368026 56 1
"54" 4368026 4380195 55 1
"55" 4380195 4390289 53 1
"56" 4390289 4518202 52 1
"57" 4518202 4529544 53 1
"58" 4529544 4552802 54 1
"59" 4552802 4587177 55 1
"60" 4587177 4646379 53 1
"61" 4646379 4756601 51 1
"62" 4756601 4768540 55 1
"63" 4768540 4772053 54 1
"64" 4772053 4792184 53 1
"65" 4792184 4828063 52 1
"66" 4828063 5003504 51 1
"67" 5003504 5060684 52 1
